pattern_id;stop_sequence;stop_id;zones
2023_0_1;13;070485;Loures
2023_0_1;14;070488;Loures
2023_0_1;15;070489;Loures
2023_0_1;16;070491;Loures
2023_0_1;17;070493;Loures
2023_0_1;18;070496;Loures
2023_0_1;19;070498;Loures
2023_0_1;20;070500;Loures
2023_0_1;21;070502;Loures
2023_0_1;22;070504;Loures
2023_0_1;23;070505;Loures
2023_0_1;24;070508;Loures
2023_0_1;25;070509;Loures
2023_0_1;26;070512;Loures
2023_0_1;27;070112;Loures
2023_0_1;28;070114;Loures
2023_0_1;29;070115;Loures
2023_0_1;30;070118;Loures
2023_0_1;31;070120;Loures
2023_0_1;32;070121;Loures
2023_0_1;33;070514;Loures
2023_0_1;34;070515;Loures
2023_0_2;0;070693;Loures
2023_0_2;1;070513;Loures
